Part/Designator,Mfr,Mfr. Part#,Quantity,comment
C1,YAGEO,CC0402KRX5R5BB105,1,0402 1uf
C2,YAGEO,CC0402MRX5R5BB106,1,0402 10uf
"C3,C4,C5,C6",YAGEO,CC0402KRX7R9BB103,4,0402 10nF
R1,YAGEO,RC0603JR-0722RL,1,0603 22r
R2,YAGEO,RC0402FR-0722RL,1,0402 22r
R3,YAGEO,RC0402JR-0710KL,1,0402 10k
"R4,R7",YAGEO,RC0603JR-07300RL,2,0603 300r
"R5,R8",YAGEO,RC0603JR-07150RL,2,0603 150r
"R6,R9",YAGEO,RC0603JR-07100RL,2,0603 100r
U1,Atmel,ATMEGA16U2-MU,1,MCU
J1,suntech,ZX62D-B-5P8,1,usb conn
XT1,Murata,CSTCE16M0V53-R0,1,resonator 16MHz
S8,C&K,KSC421J 70SH LFS,1,Reset switch
